id,value_0day_0hr,value_0day_1hr,value_0day_2hr,value_0day_3hr,value_0day_4hr,value_0day_5hr,value_0day_6hr,value_0day_7hr,value_0day_8hr,value_0day_9hr,value_0day_10hr,value_0day_11hr,value_0day_12hr,value_0day_13hr,value_0day_14hr,value_0day_15hr,value_0day_16hr,value_0day_17hr,value_0day_18hr,value_0day_19hr,value_0day_20hr,value_0day_21hr,value_0day_22hr,value_0day_23hr,value_1day_0hr,value_1day_1hr,value_1day_2hr,value_1day_3hr,value_1day_4hr,value_1day_5hr,value_1day_6hr,value_1day_7hr,value_1day_8hr,value_1day_9hr,value_1day_10hr,value_1day_11hr,value_1day_12hr,value_1day_13hr,value_1day_14hr,value_1day_15hr,value_1day_16hr,value_1day_17hr,value_1day_18hr,value_1day_19hr,value_1day_20hr,value_1day_21hr,value_1day_22hr,value_1day_23hr
1110307051,12.0,13.0,13.0,13.0,25.0,16.816666666666666,24.0,20.0,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0
1110307051,13.0,13.0,13.0,25.0,16.816666666666666,24.0,20.0,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0
1110307051,13.0,13.0,25.0,16.816666666666666,24.0,20.0,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0
1110307051,13.0,25.0,16.816666666666666,24.0,20.0,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0,20.0
1110307051,25.0,16.816666666666666,24.0,20.0,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0,20.0,20.0
1110307051,16.816666666666666,24.0,20.0,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0,20.0,20.0,22.0
1110307051,24.0,20.0,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0,20.0,20.0,22.0,18.05
1110307051,20.0,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0,20.0,20.0,22.0,18.05,21.0
1110307051,20.0,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0,20.0,20.0,22.0,18.05,21.0,23.0
1110307051,15.0,17.879310344827584,17.5,16.796610169491526,17.23728813559322,17.389830508474578,16.864406779661017,16.847457627118644,16.24137931034483,16.333333333333332,15.810344827586205,16.56896551724138,16.517241379310345,15.948275862068966,15.915254237288135,16.932203389830512,17.16949152542373,2.0,19.0,21.0,17.220338983050848,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0,15.0,13.0,14.0,20.0,20.0,22.0,18.05,21.0,23.0,24.0
